Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
165,8/1/16 0:09,8/1/16 0:12,3270,Jersey & 6th St,40.72528911,-74.04557168,3273,Manila & 1st,40.72165072,-74.04288411,24679,Subscriber,1968,1
705,8/1/16 1:45,8/1/16 1:56,3186,Grove St PATH,40.71958612,-74.04311746,3206,Hilltop,40.7311689,-74.0575736,24530,Subscriber,1978,1
854,8/1/16 2:22,8/1/16 2:36,3183,Exchange Place,40.7162469,-74.0334588,3190,Garfield Ave Station,40.71046702,-74.0700388,24649,Subscriber,1988,1
211,8/1/16 3:05,8/1/16 3:08,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24624,Subscriber,1986,1
506,8/1/16 3:25,8/1/16 3:34,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24624,Subscriber,1986,1
132,8/1/16 4:17,8/1/16 4:20,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24663,Subscriber,1965,1
172,8/1/16 4:41,8/1/16 4:44,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,24559,Subscriber,1982,1
776,8/1/16 5:14,8/1/16 5:27,3207,Oakland Ave,40.7376037,-74.0524783,3276,Marin Light Rail,40.71458404,-74.04281706,24532,Subscriber,1984,2
629,8/1/16 5:18,8/1/16 5:28,3212,Christ Hospital,40.73478582,-74.05044364,3195,Sip Ave,40.73074263,-74.06378388,24561,Subscriber,1965,1
325,8/1/16 5:20,8/1/16 5:26,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24721,Subscriber,1958,1
461,8/1/16 5:39,8/1/16 5:47,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24470,Subscriber,1977,1
2673,8/1/16 5:40,8/1/16 6:24,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,24562,Subscriber,1969,1
185,8/1/16 5:52,8/1/16 5:55,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,24456,Subscriber,1961,1
